,Azteca,Azya orbigera,Berry Borer,Coffee Rust,Diomus,Leaf Miner,Linyphiidae,Mycodiplosis,Parasites 1,Parasites 2,Parasites 3,Pheidole protensa,Pheidole synanthropica,Phorid,Pseudomyrmex,Scale,Solenopsis geminata,Solenopsis picea,Wasamannia auropunctata,White Halo Fungus
Azteca,0,6,2,0,0,0,2,0,3,2,0,0,2,2,3,4,0,0,0,0
Azya orbigera,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,4,0,0,0,1
Berry Borer,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0
Coffee Rust,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Diomus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leaf Miner,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Linyphiidae,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
Mycodiplosis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasites 1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0
Parasites 2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasites 3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole protensa,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pheidole synanthropica,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0
Phorid,0,3,0,0,0,0,2,0,1,1,0,0,0,0,1,2,0,0,0,0
Pseudomyrmex,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Scale,2,3,0,0,2,0,0,0,4,0,0,0,2,0,0,0,0,0,0,2
Solenopsis geminata,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Solenopsis picea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Wasamannia auropunctata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
White Halo Fungus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
