,"(Azteca,(Scale,Parasites 1))","(Scale,Diomus)",Leaf Miner,"(Azteca,Azya orbigera)",Parasites 1,Solenopsis picea,Linyphiidae,"(Azteca,(Azya orbigera,Parasites 2))","(Linyphiidae,Parasites 1)","(Azteca,(Scale,Azya orbigera))","(Scale,Azteca)","(Pseudomyrmex,Berry Borer)","(Linyphiidae,Phorid)","(Berry Borer,Pseudomyrmex)",Scale,"(Scale,Pheidole synanthropica)","(White Halo Fungus,Scale)",Diomus,"(Parasites 2,Azya orbigera)",Azya orbigera,Pheidole protensa,"(Azya orbigera,Parasites 2)",Pseudomyrmex,"(Parasites 1,Scale)",Wasamannia auropunctata,"(Parasites 1,Linyphiidae)","(Azteca,(Parasites 2,Azya orbigera))","(Scale,Parasites 1)",Azteca,"(Azteca,Pseudomyrmex)",Coffee Rust,Parasites 3,Parasites 2,Berry Borer,White Halo Fungus,Pheidole synanthropica,"(Phorid,Linyphiidae)",Phorid,Solenopsis geminata,"(Azteca,(Parasites 1,Scale))","(Azteca,(Azya orbigera,Scale))","(Scale,White Halo Fungus)","(Azya orbigera,Scale)","(Scale,Azya orbigera)",Mycodiplosis
"(Azteca,(Scale,Parasites 1))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Scale,Diomus)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leaf Miner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Azteca,Azya orbigera)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasites 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solenopsis picea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linyphiidae,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Azteca,(Azya orbigera,Parasites 2))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Linyphiidae,Parasites 1)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Azteca,(Scale,Azya orbigera))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"(Scale,Azteca)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Pseudomyrmex,Berry Borer)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"(Linyphiidae,Phorid)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"(Berry Borer,Pseudomyrmex)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
