,species,degree_in,degree_out
0,"(Azteca,(Scale,Parasites 1))",2,1
1,"(Scale,Diomus)",2,1
2,Leaf Miner,2,2
3,"(Azteca,Azya orbigera)",2,1
4,Parasites 1,2,2
5,Solenopsis picea,2,2
6,Linyphiidae,2,2
7,"(Azteca,(Azya orbigera,Parasites 2))",2,1
8,"(Linyphiidae,Parasites 1)",2,1
9,"(Azteca,(Scale,Azya orbigera))",2,1
10,"(Scale,Azteca)",2,1
11,"(Pseudomyrmex,Berry Borer)",2,1
12,"(Linyphiidae,Phorid)",2,1
13,"(Berry Borer,Pseudomyrmex)",2,1
14,Scale,3,6
15,"(Scale,Pheidole synanthropica)",2,1
16,"(White Halo Fungus,Scale)",2,1
17,Diomus,2,1
18,"(Parasites 2,Azya orbigera)",2,1
19,Azya orbigera,4,5
20,Pheidole protensa,2,2
21,"(Azya orbigera,Parasites 2)",2,1
22,Pseudomyrmex,5,4
23,"(Parasites 1,Scale)",3,1
24,Wasamannia auropunctata,2,2
25,"(Parasites 1,Linyphiidae)",2,1
26,"(Azteca,(Parasites 2,Azya orbigera))",2,1
27,"(Scale,Parasites 1)",3,1
28,Azteca,2,18
29,"(Azteca,Pseudomyrmex)",2,1
30,Coffee Rust,2,2
31,Parasites 3,1,1
32,Parasites 2,1,1
33,Berry Borer,5,5
34,White Halo Fungus,2,2
35,Pheidole synanthropica,6,8
36,"(Phorid,Linyphiidae)",2,1
37,Phorid,2,9
38,Solenopsis geminata,1,1
39,"(Azteca,(Parasites 1,Scale))",2,1
40,"(Azteca,(Azya orbigera,Scale))",2,1
41,"(Scale,White Halo Fungus)",2,1
42,"(Azya orbigera,Scale)",2,1
43,"(Scale,Azya orbigera)",2,1
44,Mycodiplosis,1,1
