;start;end
0;(Azteca,(Azya orbigera,Parasites 2));(Azya orbigera,Parasites 2)
1;(Azteca,(Azya orbigera,Scale));(Azya orbigera,Scale)
2;(Azteca,(Parasites 1,Scale));(Parasites 1,Scale)
3;(Azteca,(Parasites 2,Azya orbigera));(Parasites 2,Azya orbigera)
4;(Azteca,(Scale,Azya orbigera));(Scale,Azya orbigera)
5;(Azteca,(Scale,Parasites 1));(Scale,Parasites 1)
6;(Azteca,Azya orbigera);Azya orbigera
7;(Azteca,Pseudomyrmex);Pseudomyrmex
8;(Azya orbigera,Parasites 2);Parasites 2
9;(Azya orbigera,Scale);Scale
10;(Berry Borer,Pseudomyrmex);Pseudomyrmex
11;(Linyphiidae,Parasites 1);Parasites 1
12;(Linyphiidae,Phorid);Phorid
13;(Parasites 1,Linyphiidae);Linyphiidae
14;(Parasites 1,Scale);Scale
15;(Parasites 2,Azya orbigera);Azya orbigera
16;(Phorid,Linyphiidae);Linyphiidae
17;(Pseudomyrmex,Berry Borer);Berry Borer
18;(Scale,Azteca);Azteca
19;(Scale,Azya orbigera);Azya orbigera
20;(Scale,Diomus);Diomus
21;(Scale,Parasites 1);Parasites 1
22;(Scale,Pheidole synanthropica);Pheidole synanthropica
23;(Scale,White Halo Fungus);White Halo Fungus
24;(White Halo Fungus,Scale);Scale
25;Azteca;(Azteca,(Azya orbigera,Parasites 2))
26;Azteca;(Azteca,(Azya orbigera,Scale))
27;Azteca;(Azteca,(Parasites 1,Scale))
28;Azteca;(Azteca,(Parasites 2,Azya orbigera))
29;Azteca;(Azteca,(Scale,Azya orbigera))
30;Azteca;(Azteca,(Scale,Parasites 1))
31;Azteca;(Azteca,Azya orbigera)
32;Azteca;(Azteca,Pseudomyrmex)
33;Azya orbigera;(Azya orbigera,Parasites 2)
34;Azya orbigera;(Azya orbigera,Scale)
35;Berry Borer;(Berry Borer,Pseudomyrmex)
36;Linyphiidae;(Linyphiidae,Parasites 1)
37;Linyphiidae;(Linyphiidae,Phorid)
38;Parasites 1;(Parasites 1,Linyphiidae)
39;Parasites 1;(Parasites 1,Scale)
40;Parasites 2;(Parasites 2,Azya orbigera)
41;Phorid;(Phorid,Linyphiidae)
42;Pseudomyrmex;(Pseudomyrmex,Berry Borer)
43;Scale;(Scale,Azteca)
44;Scale;(Scale,Azya orbigera)
45;Scale;(Scale,Diomus)
46;Scale;(Scale,Parasites 1)
47;Scale;(Scale,Pheidole synanthropica)
48;Scale;(Scale,White Halo Fungus)
49;White Halo Fungus;(White Halo Fungus,Scale)
50;Azteca;(Berry Borer,Pseudomyrmex)
51;Azteca;(Linyphiidae,Parasites 1)
52;Azteca;(Linyphiidae,Phorid)
53;Azteca;(Parasites 1,Linyphiidae)
54;Azteca;(Phorid,Linyphiidae)
55;Azteca;(Pseudomyrmex,Berry Borer)
56;Azteca;(Scale,Pheidole synanthropica)
57;Azteca;Berry Borer
58;Azteca;Pheidole synanthropica
59;Azteca;Phorid
60;Azya orbigera;(Scale,White Halo Fungus)
61;Azya orbigera;(White Halo Fungus,Scale)
62;Azya orbigera;Diomus
63;Berry Borer;Azteca
64;Berry Borer;Pheidole protensa
65;Berry Borer;Pheidole synanthropica
66;Berry Borer;Wasamannia auropunctata
67;Coffee Rust;Mycodiplosis
68;Coffee Rust;White Halo Fungus
69;Diomus;Azya orbigera
70;Leaf Miner;Parasites 3
71;Leaf Miner;Pseudomyrmex
72;Mycodiplosis;Coffee Rust
73;Parasites 3;Leaf Miner
74;Pheidole protensa;Berry Borer
75;Pheidole protensa;Pheidole synanthropica
76;Pheidole synanthropica;(Parasites 1,Scale)
77;Pheidole synanthropica;(Scale,Azteca)
78;Pheidole synanthropica;(Scale,Diomus)
79;Pheidole synanthropica;(Scale,Parasites 1)
80;Pheidole synanthropica;Berry Borer
81;Pheidole synanthropica;Pheidole protensa
82;Pheidole synanthropica;Pseudomyrmex
83;Pheidole synanthropica;Solenopsis geminata
84;Phorid;(Azteca,(Azya orbigera,Parasites 2))
85;Phorid;(Azteca,(Azya orbigera,Scale))
86;Phorid;(Azteca,(Parasites 1,Scale))
87;Phorid;(Azteca,(Parasites 2,Azya orbigera))
88;Phorid;(Azteca,(Scale,Azya orbigera))
89;Phorid;(Azteca,(Scale,Parasites 1))
90;Phorid;(Azteca,Azya orbigera)
91;Phorid;(Azteca,Pseudomyrmex)
92;Pseudomyrmex;Leaf Miner
93;Pseudomyrmex;Pheidole synanthropica
94;Pseudomyrmex;Solenopsis picea
95;Solenopsis geminata;Pheidole synanthropica
96;Solenopsis picea;Pseudomyrmex
97;Solenopsis picea;Wasamannia auropunctata
98;Wasamannia auropunctata;Berry Borer
99;Wasamannia auropunctata;Solenopsis picea
100;White Halo Fungus;Coffee Rust
