,"((Scale,Azteca),Scale)","((Scale,Diomus),Scale)","((Azteca,(Scale,Azya orbigera)),Azteca)","((Scale,White Halo Fungus),Scale)","(Pheidole synanthropica,(Scale,Pheidole synanthropica))","((Azteca,Pseudomyrmex),Azteca)","((Scale,Azya orbigera),(Azteca,(Scale,Azya orbigera)))","((Scale,Azya orbigera),Scale)","((White Halo Fungus,Scale),White Halo Fungus)","(Phorid,(Linyphiidae,Phorid))","((Scale,Parasites 1),Scale)","((Scale,Parasites 1),(Azteca,(Scale,Parasites 1)))","((Parasites 1,Scale),(Azteca,(Parasites 1,Scale)))","((Parasites 1,Scale),Parasites 1)","((Pseudomyrmex,Berry Borer),Pseudomyrmex)","((Azya orbigera,Parasites 2),(Azteca,(Azya orbigera,Parasites 2)))","((Azya orbigera,Parasites 2),Azya orbigera)","(Parasites 2,(Azya orbigera,Parasites 2))","((Azteca,(Azya orbigera,Parasites 2)),Azteca)","((Berry Borer,Pseudomyrmex),Berry Borer)","((Parasites 2,Azya orbigera),Parasites 2)","((Parasites 2,Azya orbigera),(Azteca,(Parasites 2,Azya orbigera)))","((Azteca,(Parasites 2,Azya orbigera)),Azteca)","((Azteca,(Parasites 1,Scale)),Azteca)","(Scale,(White Halo Fungus,Scale))","(Scale,(Parasites 1,Scale))","(Scale,(Azya orbigera,Scale))","(Linyphiidae,(Phorid,Linyphiidae))","(Linyphiidae,(Parasites 1,Linyphiidae))","(White Halo Fungus,(Scale,White Halo Fungus))","(Pseudomyrmex,(Azteca,Pseudomyrmex))","(Pseudomyrmex,(Berry Borer,Pseudomyrmex))","(Azteca,(Scale,Azteca))","((Linyphiidae,Phorid),Linyphiidae)","((Azteca,(Scale,Parasites 1)),Azteca)","(Parasites 1,(Scale,Parasites 1))","(Parasites 1,(Linyphiidae,Parasites 1))","((Linyphiidae,Parasites 1),Linyphiidae)","((Azya orbigera,Scale),Azya orbigera)","((Azya orbigera,Scale),(Azteca,(Azya orbigera,Scale)))","((Azteca,Azya orbigera),Azteca)","(Berry Borer,(Pseudomyrmex,Berry Borer))","(Azya orbigera,(Scale,Azya orbigera))","(Azya orbigera,(Parasites 2,Azya orbigera))","(Azya orbigera,(Azteca,Azya orbigera))","((Phorid,Linyphiidae),Phorid)","((Azteca,(Azya orbigera,Scale)),Azteca)","((Parasites 1,Linyphiidae),Parasites 1)","(Diomus,(Scale,Diomus))","((Scale,Pheidole synanthropica),Scale)","(Pheidole synanthropica,Azteca)","((Linyphiidae,Parasites 1),Azteca)","((Scale,White Halo Fungus),Azya orbigera)","(Pheidole protensa,Pheidole synanthropica)","((Azteca,(Azya orbigera,Scale)),Phorid)","((Scale,Azteca),Pheidole synanthropica)","((Parasites 1,Scale),Pheidole synanthropica)","(Berry Borer,Pheidole synanthropica)","(Pheidole synanthropica,Solenopsis geminata)","((Parasites 1,Linyphiidae),Azteca)","((Azteca,(Scale,Azya orbigera)),Phorid)","(Pheidole synanthropica,Pheidole protensa)","((Pseudomyrmex,Berry Borer),Azteca)","((Linyphiidae,Phorid),Azteca)","((Azteca,(Parasites 1,Scale)),Phorid)","((Azteca,(Scale,Parasites 1)),Phorid)","((Azteca,Pseudomyrmex),Phorid)","((Scale,Pheidole synanthropica),Azteca)","(Solenopsis picea,Wasamannia auropunctata)","((Phorid,Linyphiidae),Azteca)","(Leaf Miner,Pseudomyrmex)","(Pheidole protensa,Berry Borer)","(Berry Borer,Wasamannia auropunctata)","(Coffee Rust,White Halo Fungus)","(Pheidole synanthropica,Berry Borer)","(Wasamannia auropunctata,Berry Borer)","(Pseudomyrmex,Pheidole synanthropica)","(Phorid,Azteca)","((Azteca,(Azya orbigera,Parasites 2)),Phorid)","(Berry Borer,Azteca)","((Scale,Parasites 1),Pheidole synanthropica)","(Solenopsis geminata,Pheidole synanthropica)","(Mycodiplosis,Coffee Rust)","(Pseudomyrmex,Solenopsis picea)","(Diomus,Azya orbigera)","(Azya orbigera,Diomus)","((Berry Borer,Pseudomyrmex),Azteca)","(Solenopsis picea,Pseudomyrmex)","(Coffee Rust,Mycodiplosis)","(Wasamannia auropunctata,Solenopsis picea)","(Pseudomyrmex,Leaf Miner)","((White Halo Fungus,Scale),Azya orbigera)","(Azteca,Berry Borer)","((Scale,Diomus),Pheidole synanthropica)","(Pheidole synanthropica,Pseudomyrmex)","(Parasites 3,Leaf Miner)","(Berry Borer,Pheidole protensa)","(Leaf Miner,Parasites 3)","((Azteca,Azya orbigera),Phorid)","((Azteca,(Parasites 2,Azya orbigera)),Phorid)","(White Halo Fungus,Coffee Rust)"
White Halo Fungus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Solenopsis picea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Scale,Parasites 1)",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Linyphiidae,Parasites 1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Azya orbigera,Scale)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Scale,Azteca)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Parasites 1,Scale)",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Scale,Diomus)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"(Pseudomyrmex,Berry Borer)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Azteca,Azya orbigera)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mycodiplosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Scale,Pheidole synanthropica)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Azya orbigera,Parasites 2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasites 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Azteca,(Scale,Azya orbigera))",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Azteca,(Azya orbigera,Parasites 2))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berry Borer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"(Scale,White Halo Fungus)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
