;(Azteca,(Linyphiidae,Parasites 1));(Coffee Rust,White Halo Fungus);(Azya orbigera,Parasites 2);(Azya orbigera,Diomus);(Phorid,(Azteca,(Azya orbigera,Parasites 2)));(Wasamannia auropunctata,Solenopsis picea);(Azteca,(Azya orbigera,Scale));Pheidole synanthropica;(Coffee Rust,Mycodiplosis);(Pseudomyrmex,Pheidole synanthropica);(Solenopsis picea,Wasamannia auropunctata);(Berry Borer,Pseudomyrmex);(Berry Borer,Azteca);Solenopsis picea;Diomus;(Phorid,(Azteca,(Parasites 1,Scale)));(Pheidole synanthropica,(Parasites 1,Scale));(Pheidole synanthropica,Pseudomyrmex);(Parasites 3,Leaf Miner);(Phorid,(Azteca,Azya orbigera));(Pheidole synanthropica,(Scale,Parasites 1));Linyphiidae;(Berry Borer,Wasamannia auropunctata);(Scale,Pheidole synanthropica);(Phorid,Linyphiidae);Azteca;(Pseudomyrmex,Solenopsis picea);Leaf Miner;(Phorid,(Azteca,Pseudomyrmex));(White Halo Fungus,Scale);White Halo Fungus;Azya orbigera;(Linyphiidae,Phorid);(Azteca,(Scale,Azya orbigera));(Pheidole protensa,Pheidole synanthropica);(Azya orbigera,Scale);(Phorid,(Azteca,(Scale,Parasites 1)));(Pheidole protensa,Berry Borer);(Leaf Miner,Parasites 3);(Scale,Parasites 1);Wasamannia auropunctata;(Mycodiplosis,Coffee Rust);(Azteca,(Phorid,Linyphiidae));(Azteca,Azya orbigera);(Pheidole synanthropica,(Scale,Diomus));(Azteca,Pheidole synanthropica);Phorid;(Parasites 1,Scale);(Azteca,(Parasites 1,Linyphiidae));(Azteca,(Scale,Parasites 1));(Scale,Diomus);(White Halo Fungus,Coffee Rust);(Berry Borer,Pheidole protensa);(Pheidole synanthropica,Berry Borer);(Azteca,Berry Borer);(Parasites 2,Azya orbigera);(Azteca,(Scale,Pheidole synanthropica));(Azteca,Phorid);(Pheidole synanthropica,Solenopsis geminata);Mycodiplosis;Pheidole protensa;(Azteca,Pseudomyrmex);(Azteca,(Azya orbigera,Parasites 2));(Linyphiidae,Parasites 1);(Azya orbigera,(White Halo Fungus,Scale));(Solenopsis picea,Pseudomyrmex);(Scale,Azya orbigera);(Azteca,(Parasites 1,Scale));Coffee Rust;Parasites 3;Parasites 1;(Phorid,(Azteca,(Scale,Azya orbigera)));(Pheidole synanthropica,(Scale,Azteca));Solenopsis geminata;(Diomus,Azya orbigera);(Scale,Azteca);(Parasites 1,Linyphiidae);(Pseudomyrmex,Berry Borer);(Leaf Miner,Pseudomyrmex);(Scale,White Halo Fungus);Berry Borer;Parasites 2;(Solenopsis geminata,Pheidole synanthropica);(Phorid,(Azteca,(Parasites 2,Azya orbigera)));(Pheidole synanthropica,Pheidole protensa);(Wasamannia auropunctata,Berry Borer);(Azya orbigera,(Scale,White Halo Fungus));Scale;(Azteca,(Pseudomyrmex,Berry Borer));(Azteca,(Berry Borer,Pseudomyrmex));(Azteca,(Linyphiidae,Phorid));(Berry Borer,Pheidole synanthropica);(Azteca,(Parasites 2,Azya orbigera));(Pseudomyrmex,Leaf Miner);Pseudomyrmex;(Phorid,(Azteca,(Azya orbigera,Scale)))
(Azteca,(Linyphiidae,Parasites 1));0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Coffee Rust,White Halo Fungus);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Azya orbigera,Parasites 2);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Azya orbigera,Diomus);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Phorid,(Azteca,(Azya orbigera,Parasites 2)));0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Wasamannia auropunctata,Solenopsis picea);0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Azteca,(Azya orbigera,Scale));0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pheidole synanthropica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
(Coffee Rust,Mycodiplosis);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Pseudomyrmex,Pheidole synanthropica);0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Solenopsis picea,Wasamannia auropunctata);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Berry Borer,Pseudomyrmex);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
(Berry Borer,Azteca);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solenopsis picea;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
