;species;degree_in;degree_out
0;(Azteca,Azya orbigera);2;1
1;(Pheidole protensa,Berry Borer);1;1
2;(Scale,Diomus);2;1
3;(Parasites 2,Azya orbigera);2;1
4;(Scale,Azteca);2;1
5;Solenopsis geminata;1;1
6;Solenopsis picea;2;2
7;(Pheidole synanthropica,Pheidole protensa);1;1
8;(Azteca,Phorid);1;1
9;(Parasites 1,Linyphiidae);2;1
10;(Azteca,(Phorid,Linyphiidae));1;1
11;(Azteca,Berry Borer);1;1
12;(Solenopsis picea,Pseudomyrmex);1;1
13;Azteca;2;18
14;Scale;3;6
15;(Berry Borer,Azteca);1;1
16;(Azteca,(Scale,Pheidole synanthropica));1;1
17;(Scale,White Halo Fungus);2;1
18;(Mycodiplosis,Coffee Rust);1;1
19;(Pheidole synanthropica,Solenopsis geminata);1;1
20;(Wasamannia auropunctata,Berry Borer);1;1
21;Parasites 1;2;2
22;(Solenopsis picea,Wasamannia auropunctata);1;1
23;(Phorid,(Azteca,(Parasites 1,Scale)));1;1
24;(Azteca,(Pseudomyrmex,Berry Borer));1;1
25;(Azteca,(Azya orbigera,Scale));2;1
26;(Azteca,Pheidole synanthropica);1;1
27;Coffee Rust;2;2
28;(Azteca,(Linyphiidae,Parasites 1));1;1
29;(Diomus,Azya orbigera);1;1
30;(Linyphiidae,Parasites 1);2;1
31;White Halo Fungus;2;2
32;(Azteca,(Scale,Azya orbigera));2;1
33;(Parasites 3,Leaf Miner);1;1
34;(Phorid,(Azteca,(Azya orbigera,Scale)));1;1
35;(Leaf Miner,Pseudomyrmex);1;1
36;(Azteca,(Scale,Parasites 1));2;1
37;Azya orbigera;4;5
38;(Pheidole synanthropica,Pseudomyrmex);1;1
39;(Azya orbigera,Diomus);1;1
40;(Pheidole protensa,Pheidole synanthropica);1;1
41;(Wasamannia auropunctata,Solenopsis picea);1;1
42;(White Halo Fungus,Coffee Rust);1;1
43;(Berry Borer,Pseudomyrmex);2;1
44;(Solenopsis geminata,Pheidole synanthropica);1;1
45;(Azya orbigera,(Scale,White Halo Fungus));1;1
46;(Parasites 1,Scale);3;1
47;(Phorid,(Azteca,Pseudomyrmex));1;1
48;(Phorid,(Azteca,(Parasites 2,Azya orbigera)));1;1
49;(Azya orbigera,Parasites 2);2;1
50;(Azteca,(Parasites 1,Scale));2;1
51;(Pheidole synanthropica,Berry Borer);1;1
52;Pheidole protensa;2;2
53;Pheidole synanthropica;6;8
54;Linyphiidae;2;2
55;(Scale,Pheidole synanthropica);2;1
56;(Pheidole synanthropica,(Scale,Azteca));1;1
57;(Berry Borer,Pheidole synanthropica);1;1
58;(Coffee Rust,White Halo Fungus);1;1
59;(Phorid,(Azteca,(Scale,Parasites 1)));1;1
60;(Azteca,(Parasites 1,Linyphiidae));1;1
61;Wasamannia auropunctata;2;2
62;(Pheidole synanthropica,(Scale,Parasites 1));1;1
63;(Linyphiidae,Phorid);2;1
64;(Azteca,Pseudomyrmex);2;1
65;(Azya orbigera,(White Halo Fungus,Scale));1;1
66;Parasites 2;1;1
67;(Phorid,Linyphiidae);2;1
68;(Azteca,(Linyphiidae,Phorid));1;1
69;(Phorid,(Azteca,(Azya orbigera,Parasites 2)));1;1
70;(Pseudomyrmex,Pheidole synanthropica);1;1
71;(Berry Borer,Wasamannia auropunctata);1;1
72;(Coffee Rust,Mycodiplosis);1;1
73;(Phorid,(Azteca,Azya orbigera));1;1
74;Phorid;2;9
75;(Azteca,(Berry Borer,Pseudomyrmex));1;1
76;Mycodiplosis;1;1
77;(Pseudomyrmex,Leaf Miner);1;1
78;(Berry Borer,Pheidole protensa);1;1
79;(Pseudomyrmex,Berry Borer);2;1
80;Parasites 3;1;1
81;(Phorid,(Azteca,(Scale,Azya orbigera)));1;1
82;(Pseudomyrmex,Solenopsis picea);1;1
83;(Azteca,(Parasites 2,Azya orbigera));2;1
84;(Leaf Miner,Parasites 3);1;1
85;(Pheidole synanthropica,(Parasites 1,Scale));1;1
86;(Scale,Azya orbigera);2;1
87;Berry Borer;5;5
88;Diomus;2;1
89;(Scale,Parasites 1);3;1
90;(Azya orbigera,Scale);2;1
91;Leaf Miner;2;2
92;(Pheidole synanthropica,(Scale,Diomus));1;1
93;(Azteca,(Azya orbigera,Parasites 2));2;1
94;Pseudomyrmex;5;4
95;(White Halo Fungus,Scale);2;1
