;species;degree_in;degree_out
0;(Azteca,Azya orbigera);2;1
1;Linyphiidae;2;2
2;(Scale,Diomus);2;1
3;(Linyphiidae,Parasites 1);2;1
4;(Scale,Pheidole synanthropica);2;1
5;(Parasites 2,Azya orbigera);2;1
6;White Halo Fungus;2;2
7;(Scale,Azteca);2;1
8;Solenopsis geminata;1;1
9;(Azteca,(Scale,Azya orbigera));2;1
10;Solenopsis picea;2;2
11;Phorid;2;9
12;(Azteca,(Scale,Parasites 1));2;1
13;(Parasites 1,Linyphiidae);2;1
14;Mycodiplosis;1;1
15;Azya orbigera;4;5
16;Azteca;2;18
17;Wasamannia auropunctata;2;2
18;(Pseudomyrmex,Berry Borer);2;1
19;(White Halo Fungus,Scale);2;1
20;Scale;3;6
21;Parasites 3;1;1
22;(Linyphiidae,Phorid);2;1
23;(Azteca,Pseudomyrmex);2;1
24;(Scale,White Halo Fungus);2;1
25;(Azteca,(Parasites 2,Azya orbigera));2;1
26;(Berry Borer,Pseudomyrmex);2;1
27;(Scale,Azya orbigera);2;1
28;Parasites 2;1;1
29;Berry Borer;5;5
30;(Parasites 1,Scale);3;1
31;Diomus;2;1
32;Parasites 1;2;2
33;(Phorid,Linyphiidae);2;1
34;(Scale,Parasites 1);3;1
35;(Azya orbigera,Scale);2;1
36;Leaf Miner;2;2
37;(Azya orbigera,Parasites 2);2;1
38;(Azteca,(Parasites 1,Scale));2;1
39;(Azteca,(Azya orbigera,Parasites 2));2;1
40;Pseudomyrmex;5;4
41;Pheidole synanthropica;6;8
42;(Azteca,(Azya orbigera,Scale));2;1
43;Pheidole protensa;2;2
44;Coffee Rust;2;2
