,"(Pseudomyrmex,(Berry Borer,Pseudomyrmex))","(Pseudomyrmex,(Azteca,Pseudomyrmex))","(Pheidole synanthropica,(Scale,Pheidole synanthropica))","((Scale,White Halo Fungus),Scale)","((Scale,Azteca),Scale)","((Azteca,(Parasites 2,Azya orbigera)),Azteca)","(Linyphiidae,(Parasites 1,Linyphiidae))","(Linyphiidae,(Phorid,Linyphiidae))","((Azteca,Azya orbigera),Azteca)","((Scale,Parasites 1),(Azteca,(Scale,Parasites 1)))","((Scale,Parasites 1),Scale)","((Parasites 2,Azya orbigera),(Azteca,(Parasites 2,Azya orbigera)))","((Parasites 2,Azya orbigera),Parasites 2)","(Azteca,(Scale,Azteca))","(Parasites 2,(Azya orbigera,Parasites 2))","((Azteca,(Scale,Azya orbigera)),Azteca)","((Linyphiidae,Parasites 1),Linyphiidae)","((Scale,Pheidole synanthropica),Scale)","((Azteca,(Scale,Parasites 1)),Azteca)","((Azteca,(Azya orbigera,Parasites 2)),Azteca)","((Azya orbigera,Scale),(Azteca,(Azya orbigera,Scale)))","((Azya orbigera,Scale),Azya orbigera)","((Scale,Diomus),Scale)","((Pseudomyrmex,Berry Borer),Pseudomyrmex)","((Azteca,(Parasites 1,Scale)),Azteca)","(Phorid,(Linyphiidae,Phorid))","(Diomus,(Scale,Diomus))","(White Halo Fungus,(Scale,White Halo Fungus))","((Parasites 1,Linyphiidae),Parasites 1)","((Azya orbigera,Parasites 2),(Azteca,(Azya orbigera,Parasites 2)))","((Azya orbigera,Parasites 2),Azya orbigera)","((Berry Borer,Pseudomyrmex),Berry Borer)","((Parasites 1,Scale),(Azteca,(Parasites 1,Scale)))","((Parasites 1,Scale),Parasites 1)","(Parasites 1,(Scale,Parasites 1))","(Parasites 1,(Linyphiidae,Parasites 1))","((Phorid,Linyphiidae),Phorid)","((Linyphiidae,Phorid),Linyphiidae)","(Scale,(Azya orbigera,Scale))","(Scale,(Parasites 1,Scale))","(Scale,(White Halo Fungus,Scale))","((Scale,Azya orbigera),(Azteca,(Scale,Azya orbigera)))","((Scale,Azya orbigera),Scale)","((White Halo Fungus,Scale),White Halo Fungus)","((Azteca,(Azya orbigera,Scale)),Azteca)","(Azya orbigera,(Azteca,Azya orbigera))","(Azya orbigera,(Parasites 2,Azya orbigera))","(Azya orbigera,(Scale,Azya orbigera))","(Berry Borer,(Pseudomyrmex,Berry Borer))","((Azteca,Pseudomyrmex),Azteca)","((Parasites 1,Linyphiidae),Azteca)","(Berry Borer,Azteca)","((Parasites 1,Scale),Pheidole synanthropica)","(Mycodiplosis,Coffee Rust)","((Azteca,(Parasites 2,Azya orbigera)),Phorid)","(Azya orbigera,Diomus)","(Coffee Rust,White Halo Fungus)","(Pheidole synanthropica,Pseudomyrmex)","(Pseudomyrmex,Leaf Miner)","(Wasamannia auropunctata,Berry Borer)","((Azteca,(Azya orbigera,Parasites 2)),Phorid)","((Scale,Diomus),Pheidole synanthropica)","(Berry Borer,Pheidole synanthropica)","(Azteca,Berry Borer)","((Phorid,Linyphiidae),Azteca)","(Leaf Miner,Parasites 3)","((White Halo Fungus,Scale),Azya orbigera)","((Linyphiidae,Phorid),Azteca)","(Solenopsis geminata,Pheidole synanthropica)","(Pheidole synanthropica,Berry Borer)","((Azteca,(Azya orbigera,Scale)),Phorid)","(Phorid,Azteca)","(Parasites 3,Leaf Miner)","(Solenopsis picea,Wasamannia auropunctata)","((Azteca,(Scale,Azya orbigera)),Phorid)","((Azteca,(Scale,Parasites 1)),Phorid)","(Pheidole synanthropica,Solenopsis geminata)","((Azteca,Pseudomyrmex),Phorid)","(Wasamannia auropunctata,Solenopsis picea)","(Pheidole synanthropica,Pheidole protensa)","((Linyphiidae,Parasites 1),Azteca)","(Pseudomyrmex,Pheidole synanthropica)","((Azteca,Azya orbigera),Phorid)","(Pheidole protensa,Pheidole synanthropica)","((Berry Borer,Pseudomyrmex),Azteca)","((Scale,White Halo Fungus),Azya orbigera)","(Leaf Miner,Pseudomyrmex)","((Pseudomyrmex,Berry Borer),Azteca)","(Pheidole synanthropica,Azteca)","(Coffee Rust,Mycodiplosis)","(Pseudomyrmex,Solenopsis picea)","(Berry Borer,Pheidole protensa)","(Berry Borer,Wasamannia auropunctata)","((Scale,Azteca),Pheidole synanthropica)","((Scale,Pheidole synanthropica),Azteca)","((Scale,Parasites 1),Pheidole synanthropica)","(Pheidole protensa,Berry Borer)","(Solenopsis picea,Pseudomyrmex)","(White Halo Fungus,Coffee Rust)","((Azteca,(Parasites 1,Scale)),Phorid)","(Diomus,Azya orbigera)"
"(Azya orbigera,Scale)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomyrmex,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"(Scale,Diomus)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Pseudomyrmex,Berry Borer)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Azteca,(Parasites 1,Scale))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Phorid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diomus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pheidole synanthropica,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"(Scale,White Halo Fungus)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solenopsis geminata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
