;in;out
0;Azteca;(Azteca,(Azya orbigera,Parasites 2))
1;(Azteca,(Azya orbigera,Parasites 2));(Azya orbigera,Parasites 2)
2;Azteca;(Azteca,(Azya orbigera,Scale))
3;(Azteca,(Azya orbigera,Scale));(Azya orbigera,Scale)
4;Azteca;(Azteca,(Berry Borer,Pseudomyrmex))
5;(Azteca,(Berry Borer,Pseudomyrmex));(Berry Borer,Pseudomyrmex)
6;Azteca;(Azteca,(Linyphiidae,Parasites 1))
7;(Azteca,(Linyphiidae,Parasites 1));(Linyphiidae,Parasites 1)
8;Azteca;(Azteca,(Linyphiidae,Phorid))
9;(Azteca,(Linyphiidae,Phorid));(Linyphiidae,Phorid)
10;Azteca;(Azteca,(Parasites 1,Linyphiidae))
11;(Azteca,(Parasites 1,Linyphiidae));(Parasites 1,Linyphiidae)
12;Azteca;(Azteca,(Parasites 1,Scale))
13;(Azteca,(Parasites 1,Scale));(Parasites 1,Scale)
14;Azteca;(Azteca,(Parasites 2,Azya orbigera))
15;(Azteca,(Parasites 2,Azya orbigera));(Parasites 2,Azya orbigera)
16;Azteca;(Azteca,(Phorid,Linyphiidae))
17;(Azteca,(Phorid,Linyphiidae));(Phorid,Linyphiidae)
18;Azteca;(Azteca,(Pseudomyrmex,Berry Borer))
19;(Azteca,(Pseudomyrmex,Berry Borer));(Pseudomyrmex,Berry Borer)
20;Azteca;(Azteca,(Scale,Azya orbigera))
21;(Azteca,(Scale,Azya orbigera));(Scale,Azya orbigera)
22;Azteca;(Azteca,(Scale,Parasites 1))
23;(Azteca,(Scale,Parasites 1));(Scale,Parasites 1)
24;Azteca;(Azteca,(Scale,Pheidole synanthropica))
25;(Azteca,(Scale,Pheidole synanthropica));(Scale,Pheidole synanthropica)
26;Azteca;(Azteca,Azya orbigera)
27;(Azteca,Azya orbigera);Azya orbigera
28;Azteca;(Azteca,Berry Borer)
29;(Azteca,Berry Borer);Berry Borer
30;Azteca;(Azteca,Pheidole synanthropica)
31;(Azteca,Pheidole synanthropica);Pheidole synanthropica
32;Azteca;(Azteca,Phorid)
33;(Azteca,Phorid);Phorid
34;Azteca;(Azteca,Pseudomyrmex)
35;(Azteca,Pseudomyrmex);Pseudomyrmex
36;Azya orbigera;(Azya orbigera,(Scale,White Halo Fungus))
37;(Azya orbigera,(Scale,White Halo Fungus));(Scale,White Halo Fungus)
38;Azya orbigera;(Azya orbigera,(White Halo Fungus,Scale))
39;(Azya orbigera,(White Halo Fungus,Scale));(White Halo Fungus,Scale)
40;Azya orbigera;(Azya orbigera,Diomus)
