;in;out
0;(Azteca,(Scale,Parasites 1));Azteca
1;(Scale,Parasites 1);(Azteca,(Scale,Parasites 1))
2;(Scale,Parasites 1);Scale
3;Azya orbigera;(Parasites 2,Azya orbigera)
4;Azya orbigera;(Scale,Azya orbigera)
5;Azya orbigera;(Azteca,Azya orbigera)
6;(Linyphiidae,Phorid);Linyphiidae
7;Linyphiidae;(Parasites 1,Linyphiidae)
8;Linyphiidae;(Phorid,Linyphiidae)
9;Scale;(Parasites 1,Scale)
10;Scale;(Azya orbigera,Scale)
11;Scale;(White Halo Fungus,Scale)
12;(Parasites 1,Scale);(Azteca,(Parasites 1,Scale))
13;(Parasites 1,Scale);Parasites 1
14;(Scale,Diomus);Scale
15;(Azya orbigera,Scale);Azya orbigera
16;(Azya orbigera,Scale);(Azteca,(Azya orbigera,Scale))
17;Parasites 2;(Azya orbigera,Parasites 2)
18;Azteca;(Scale,Azteca)
19;(Parasites 1,Linyphiidae);Parasites 1
20;Diomus;(Scale,Diomus)
21;Phorid;(Linyphiidae,Phorid)
22;(Azya orbigera,Parasites 2);Azya orbigera
23;(Azya orbigera,Parasites 2);(Azteca,(Azya orbigera,Parasites 2))
24;(Berry Borer,Pseudomyrmex);Berry Borer
25;(Linyphiidae,Parasites 1);Linyphiidae
26;(White Halo Fungus,Scale);White Halo Fungus
27;(Azteca,(Parasites 2,Azya orbigera));Azteca
28;(Parasites 2,Azya orbigera);Parasites 2
29;(Parasites 2,Azya orbigera);(Azteca,(Parasites 2,Azya orbigera))
30;Pseudomyrmex;(Berry Borer,Pseudomyrmex)
31;Pseudomyrmex;(Azteca,Pseudomyrmex)
32;(Azteca,(Parasites 1,Scale));Azteca
33;(Scale,Azteca);Scale
34;(Scale,Pheidole synanthropica);Scale
35;(Phorid,Linyphiidae);Phorid
36;(Azteca,(Azya orbigera,Scale));Azteca
37;(Scale,White Halo Fungus);Scale
38;Parasites 1;(Scale,Parasites 1)
39;Parasites 1;(Linyphiidae,Parasites 1)
40;White Halo Fungus;(Scale,White Halo Fungus)
41;(Scale,Azya orbigera);Scale
42;(Scale,Azya orbigera);(Azteca,(Scale,Azya orbigera))
43;(Azteca,(Scale,Azya orbigera));Azteca
44;Berry Borer;(Pseudomyrmex,Berry Borer)
45;(Pseudomyrmex,Berry Borer);Pseudomyrmex
46;(Azteca,Azya orbigera);Azteca
47;Pheidole synanthropica;(Scale,Pheidole synanthropica)
48;(Azteca,Pseudomyrmex);Azteca
49;(Azteca,(Azya orbigera,Parasites 2));Azteca
50;Wasamannia auropunctata;Berry Borer
51;(Azteca,(Parasites 1,Scale));Phorid
52;Pheidole synanthropica;Pheidole protensa
53;(Pseudomyrmex,Berry Borer);Azteca
54;Solenopsis picea;Wasamannia auropunctata
55;Azteca;Berry Borer
56;(Scale,White Halo Fungus);Azya orbigera
57;Berry Borer;Pheidole protensa
58;Berry Borer;Azteca
59;Berry Borer;Pheidole synanthropica
60;(White Halo Fungus,Scale);Azya orbigera
61;Coffee Rust;Mycodiplosis
62;Pheidole synanthropica;Solenopsis geminata
63;(Azteca,Azya orbigera);Phorid
64;(Scale,Diomus);Pheidole synanthropica
65;(Linyphiidae,Phorid);Azteca
66;Leaf Miner;Pseudomyrmex
67;Pheidole synanthropica;Berry Borer
68;(Azteca,(Parasites 2,Azya orbigera));Phorid
69;Diomus;Azya orbigera
70;(Scale,Parasites 1);Pheidole synanthropica
71;(Scale,Pheidole synanthropica);Azteca
72;Pheidole protensa;Berry Borer
73;Solenopsis picea;Pseudomyrmex
74;(Azteca,(Azya orbigera,Parasites 2));Phorid
75;(Azteca,(Scale,Azya orbigera));Phorid
76;Coffee Rust;White Halo Fungus
77;Pheidole protensa;Pheidole synanthropica
78;Pseudomyrmex;Solenopsis picea
79;Azya orbigera;Diomus
80;Wasamannia auropunctata;Solenopsis picea
81;(Phorid,Linyphiidae);Azteca
82;Pseudomyrmex;Leaf Miner
83;(Scale,Azteca);Pheidole synanthropica
84;(Azteca,(Scale,Parasites 1));Phorid
85;(Azteca,Pseudomyrmex);Phorid
86;White Halo Fungus;Coffee Rust
87;Phorid;Azteca
88;(Parasites 1,Scale);Pheidole synanthropica
89;Solenopsis geminata;Pheidole synanthropica
90;(Parasites 1,Linyphiidae);Azteca
91;Parasites 3;Leaf Miner
92;Pheidole synanthropica;Pseudomyrmex
93;(Berry Borer,Pseudomyrmex);Azteca
94;(Azteca,(Azya orbigera,Scale));Phorid
95;Pheidole synanthropica;Azteca
96;Pseudomyrmex;Pheidole synanthropica
97;Leaf Miner;Parasites 3
98;(Linyphiidae,Parasites 1);Azteca
99;Berry Borer;Wasamannia auropunctata
100;Mycodiplosis;Coffee Rust
