,species,Katz_out_H,Katz_in_H,Katz_out_P,Katz_in_P,Katz_out_G,Katz_in_G
0,Azteca,26.67672615676579,6.64754431361339,31.223655207537185,7.763607508100889,49.50358471905885,11.072342075868253
1,Azya orbigera,10.504821397520299,16.170516232611337,4.566026244994029,5.694249905509924,13.795258677234168,15.883350628434902
2,Berry Borer,5.926843865292301,4.970592168493189,26.222649104982263,15.673725778590029,26.083727209038827,18.12028193063142
3,Coffee Rust,1.641874323029417,1.8891437329848664,2.2305783490113322,2.3177979564461615,3.9855830597736985,3.9246237238151287
4,Diomus,2.1169875863804934,7.838442823413587,2.3163429620282168,4.886617292667605,4.252463108637204,10.618024345381997
5,Leaf Miner,1.4929065157791017,1.7460442613241764,6.018047159923956,5.594076437134632,5.661580125203972,6.145577353600645
6,Linyphiidae,5.368211614473812,6.229033551578076,2.33025506263316,3.642677438420063,6.711478607044129,8.171447211596366
7,Mycodiplosis,1.1745820483586369,1.2008744383917571,1.6430550227766871,1.6681996255970446,2.2601312212185523,2.247750462302325
8,Parasites 1,9.516428285356703,14.202582635872721,2.464384489048881,4.857641610992973,8.555766995468215,11.86618989374341
9,Parasites 2,4.35096275914148,7.969461228417218,1.6677801642187942,2.137887682347052,4.252463108637206,6.274451152262636
10,Parasites 3,1.1587421606373478,1.1856585363393595,2.7349471069740106,2.6127202849837516,2.600523964759777,2.6988231490712864
11,Pheidole protensa,2.521948430854324,2.406678357167349,15.608159551228765,10.664790094186301,12.465522916446588,9.861081454786547
12,Pheidole synanthropica,8.386472269373147,8.258655037094483,24.448978142674882,17.8507328886391,25.931357555717987,21.071273749997154
13,Phorid,11.02421307723675,3.738357385852531,6.603834914602169,4.474460510767944,15.128039973566878,7.026260350802681
14,Pseudomyrmex,3.476846432349639,5.830589285403036,14.671257576588825,13.322848323325275,15.913881458702413,18.19864698379181
15,Scale,17.339294446556757,19.94182387811887,8.35181284029228,5.692656225741473,26.053079892264257,16.539097796788727
16,Solenopsis geminata,1.8917415217192846,1.8781505946222767,8.048413342384077,6.146200513141476,6.717288422680421,5.730211956621748
17,Solenopsis picea,1.56068331476053,1.8028857833685585,8.395004345964049,7.014824393311299,6.879267250034103,7.0206471872554435
18,Wasamannia auropunctata,1.7961558408579692,1.7202303116393298,10.979947997899558,7.540898307395839,8.596069071262212,7.007418150228808
19,White Halo Fungus,4.861989177045653,7.161166667183068,2.62547772301295,2.902873588834506,8.002141286282395,7.714375611070106
