,species,Katz_out_P,Katz_in_P
0,"(Parasites 1,Scale)",3.407750079086587,8.852028811426571
1,"(Scale,Pheidole synanthropica)",8.048413342384226,4.879315866977097
2,"(Phorid,Linyphiidae)",1.6717908936223846,4.528121355658547
3,Azteca,31.223655207537707,7.763607508100997
4,"(Azteca,(Scale,Parasites 1))",1.4931094913625806,4.528121355658547
5,"(Scale,Azya orbigera)",2.316342962028229,3.946555256987884
6,Leaf Miner,6.0180471599240555,5.594076437134697
7,"(Azteca,(Parasites 1,Scale))",1.9824227002362758,4.528121355658547
8,"(Azya orbigera,Parasites 2)",1.4808055327729628,3.947014700064721
9,"(White Halo Fungus,Scale)",3.4077500790865876,3.478470862464926
10,"(Scale,Diomus)",1.6677801642187993,7.787340435676277
11,Parasites 3,2.7349471069740434,2.612720284983773
12,Coffee Rust,2.2305783490113416,2.31779795644617
13,Parasites 1,2.4643844890488964,4.857641610993026
14,"(Azteca,(Azya orbigera,Scale))",1.9824227002362758,4.528121355658547
15,White Halo Fungus,2.625477723012968,2.902873588834522
16,Azya orbigera,4.566026244994065,5.694249905509977
17,Pheidole synanthropica,24.44897814267535,17.850732888639364
18,Solenopsis geminata,8.048413342384226,6.146200513141558
19,"(Berry Borer,Pseudomyrmex)",5.229587308268204,7.756765525487274
20,"(Scale,Azteca)",10.001489824176815,7.787340435676279
21,"(Linyphiidae,Phorid)",2.903824276473082,4.288326020618637
22,Solenopsis picea,8.395004345964207,7.01482439331139
23,"(Parasites 1,Linyphiidae)",1.6717908936223849,4.638588908274226
24,"(Parasites 2,Azya orbigera)",2.3163429620282296,2.921748498843038
25,"(Pseudomyrmex,Berry Borer)",8.559746208844846,7.079029387588074
26,"(Azteca,(Scale,Azya orbigera))",1.6677801642187993,4.528121355658547
27,"(Azya orbigera,Scale)",3.407750079086587,3.947014700064721
28,Diomus,2.3163429620282296,4.8866172926676565
29,"(Scale,Parasites 1)",1.7104591616063447,9.092755770129443
30,Wasamannia auropunctata,10.979947997899771,7.540898307395943
31,Mycodiplosis,1.6430550227766907,1.6681996255970484
32,"(Scale,White Halo Fungus)",1.7569008448952779,4.282739288146276
33,Pheidole protensa,15.60815955122907,10.664790094186458
34,Berry Borer,26.222649104982786,15.673725778590265
35,Parasites 2,1.6677801642187986,2.1378876823470634
36,"(Azteca,Pseudomyrmex)",5.229587308268204,4.528121355658547
37,"(Azteca,Azya orbigera)",2.316342962028229,4.528121355658548
38,Scale,8.351812840292396,5.692656225741532
39,Linyphiidae,2.3302550626331695,3.6426774384200966
40,"(Azteca,(Parasites 2,Azya orbigera))",1.667780164218799,4.528121355658548
41,"(Azteca,(Azya orbigera,Parasites 2))",1.4269024829489754,4.528121355658547
42,Phorid,6.603834914602221,4.474460510767994
43,"(Linyphiidae,Parasites 1)",1.7104591616063447,4.288326020618637
44,Pseudomyrmex,14.671257576589113,13.322848323325454
